Group ID,Level,Label,Text
unknown,P1,,"11An authority to which this section applies must, when making decisions of a strategic nature about how to exercise its functions, have due regard to the desirability of exercising them in a way that is designed to reduce the inequalities of outcome which result from socio-economic disadvantage.2In deciding how to fulfil a duty to which it is subject under subsection (1), an authority must take into account any guidance issued in accordance with subsection (2A).2AThe guidance to be taken into account under subsection (2) is—ain the case of a duty imposed on an authority in relation to devolved Scottish functions, guidance issued by the Scottish Ministers;aain the case of a duty imposed on an authority in relation to devolved Welsh functions, guidance issued by the Welsh Ministers;bin any other case, guidance issued by a Minister of the Crown.3The authorities to which this section applies are—aa Minister of the Crown;ba government department other than the Security Service, the Secret Intelligence Service or the Government Communications Head-quarters;baa corporate joint committee established by regulations made under Part 5 of the Local Government and Elections (Wales) Act 2021;ca county council or district council in England;dthe Greater London Authority;ea London borough council;fthe Common Council of the City of London in its capacity as a local authority;gthe Council of the Isles of Scilly;h. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .i. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .j. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .ka police and crime commissioner established for an area in England.3The authorities to which this section applies are—athe Scottish Ministers;bFood Standards Scotland;cKeeper of the Registers of Scotland;dNational Records of Scotland;eRevenue Scotland;fScottish Courts and Tribunals Service;ga council constituted under section 2 of the Local Government etc. (Scotland) Act 1994;han integration joint board established under section 9(2) of the Public Bodies (Joint Working) (Scotland) Act 2014;ia Health Board constituted under section 2(1)(a) of the National Health Service (Scotland) Act 1978;ja Special Health Board constituted under section 2(1)(b) of that Act;kScottish Police Authority;lHighlands and Islands Enterprise;mScottish Enterprise.nScottish National Investment Bank p.l.c.;oSouth of Scotland Enterprise.3AThis section also applies to the following authorities—athe Welsh Ministers;ba county council or county borough council in Wales;ca Local Health Board established under section 11 of the National Health Service (Wales) Act 2006;dan NHS Trust established under section 18 of the National Health Service (Wales) Act 2006;ea Special Health Authority established under section 22 of the National Health Service (Wales) Act 2006 other than a cross-border Special Health Authority (within the meaning of section 8A(5) of the National Health Service (Wales) Act 2006);fa fire and rescue authority constituted by a scheme under section 2 of the Fire and Rescue Services Act 2004, or a scheme to which section 4 of that Act applies, for an area in Wales;ga National Park authority established by an order under section 63 of the Environment Act 1995 for an area in Wales;hthe Welsh Revenue Authority or Awdurdod Cyllid Cymru.4. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .5. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .6The reference to inequalities in subsection (1) does not include any inequalities experienced by a person as a result of being a person subject to immigration control within the meaning given by section 115(9) of the Immigration and Asylum Act 1999."
unknown,P1,,"21A Minister of the Crown may by regulations amend section 1 so as to—aadd a public authority to the authorities that are subject to the duty under subsection (1) of that section;bremove an authority from those that are subject to the duty;cmake the duty apply, in the case of a particular authority, only in relation to certain functions that it has;din the case of an authority to which the application of the duty is already restricted to certain functions, remove or alter the restriction.2In subsection (1) “public authority” means an authority that has functions of a public nature.3Provision made under subsection (1) may not impose a duty on an authority in relation to any devolved Scottish functions or devolved Welsh functions.4The Scottish Ministers or the Welsh Ministers may by regulations amend section 1 so as to—aadd a relevant authority to the authorities that are subject to the duty under subsection (1) of that section;bremove a relevant authority from those that are subject to the duty;cmake the duty apply, in the case of a particular relevant authority, only in relation to certain functions that it has;din the case of a relevant authority to which the application of the duty is already restricted to certain functions, remove or alter the restriction.5For the purposes of the power conferred by subsection (4) on the Scottish Ministers, “relevant authority” means an authority whose functions—aare exercisable only in or as regards Scotland,bare wholly or mainly devolved Scottish functions, andccorrespond or are similar to those of an authority for the time being specified in section 1(3).6For the purposes of the power conferred by subsection (4) on the Welsh Ministers, “relevant authority” means a devolved Welsh authority (within the meaning given by section 157A of the Government of Wales Act 2006) whose functions correspond or are similar to those of an authority for the time being specified in subsection (3) of section 1 or referred to in subsection (4) of that section.7. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .8Regulations under this section may make any amendments of section 1 that appear to the Minister or Ministers to be necessary or expedient in consequence of provision made under subsection (1) or (as the case may be) subsection (4).9. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .10. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . .11For the purposes of this Part—aa function is a devolved Scottish function if it is exercisable in or as regards Scotland and it does not relate to reserved matters (within the meaning of the Scotland Act 1998);b. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
unknown,P1,,3A failure in respect of a performance of a duty under section 1 does not confer a cause of action at private law.
unknown,P1,,4The following characteristics are protected characteristics—age;disability;gender reassignment;marriage and civil partnership;pregnancy and maternity;race;religion or belief;sex;sexual orientation.
unknown,P1,,"51In relation to the protected characteristic of age—aa reference to a person who has a particular protected characteristic is a reference to a person of a particular age group;ba reference to persons who share a protected characteristic is a reference to persons of the same age group.2A reference to an age group is a reference to a group of persons defined by reference to age, whether by reference to a particular age or to a range of ages."
unknown,P1,,"61A person (P) has a disability if—aP has a physical or mental impairment, andbthe impairment has a substantial and long-term adverse effect on P's ability to carry out normal day-to-day activities.2A reference to a disabled person is a reference to a person who has a disability.3In relation to the protected characteristic of disability—aa reference to a person who has a particular protected characteristic is a reference to a person who has a particular disability;ba reference to persons who share a protected characteristic is a reference to persons who have the same disability.4This Act (except Part 12 and section 190) applies in relation to a person who has had a disability as it applies in relation to a person who has the disability; accordingly (except in that Part and that section)—aa reference (however expressed) to a person who has a disability includes a reference to a person who has had the disability, andba reference (however expressed) to a person who does not have a disability includes a reference to a person who has not had the disability.5A Minister of the Crown may issue guidance about matters to be taken into account in deciding any question for the purposes of subsection (1).6Schedule 1 (disability: supplementary provision) has effect."
unknown,P1,,"71A person has the protected characteristic of gender reassignment if the person is proposing to undergo, is undergoing or has undergone a process (or part of a process) for the purpose of reassigning the person's sex by changing physiological or other attributes of sex.2A reference to a transsexual person is a reference to a person who has the protected characteristic of gender reassignment.3In relation to the protected characteristic of gender reassignment—aa reference to a person who has a particular protected characteristic is a reference to a transsexual person;ba reference to persons who share a protected characteristic is a reference to transsexual persons."
unknown,P1,,81A person has the protected characteristic of marriage and civil partnership if the person is married or is a civil partner.2In relation to the protected characteristic of marriage and civil partnership—aa reference to a person who has a particular protected characteristic is a reference to a person who is married or is a civil partner;ba reference to persons who share a protected characteristic is a reference to persons who are married or are civil partners.
unknown,P1,,"91Race includes—acolour;bnationality;cethnic or national origins.2In relation to the protected characteristic of race—aa reference to a person who has a particular protected characteristic is a reference to a person of a particular racial group;ba reference to persons who share a protected characteristic is a reference to persons of the same racial group.3A racial group is a group of persons defined by reference to race; and a reference to a person's racial group is a reference to a racial group into which the person falls.4The fact that a racial group comprises two or more distinct racial groups does not prevent it from constituting a particular racial group.5A Minister of the Crown ...—amust by order amend this section so as to provide for caste to be an aspect of race;bmay by order amend this Act so as to provide for an exception to a provision of this Act to apply, or not to apply, to caste or to apply, or not to apply, to caste in specified circumstances.6The power under section 207(4)(b), in its application to subsection (5), includes power to amend this Act."
unknown,P1,,101Religion means any religion and a reference to religion includes a reference to a lack of religion.2Belief means any religious or philosophical belief and a reference to belief includes a reference to a lack of belief.3In relation to the protected characteristic of religion or belief—aa reference to a person who has a particular protected characteristic is a reference to a person of a particular religion or belief;ba reference to persons who share a protected characteristic is a reference to persons who are of the same religion or belief.
